,load_id,customer_id,route_id,load_date,load_type,weight_lbs,pieces,revenue,fuel_surcharge,accessorial_charges,load_status,booking_type
58438,LOAD00058439,CUST00113,RTE00035,2026-01-22,Dry Van,42043,19,1840.69,344.12,0,Completed,Contract
58439,LOAD00058440,CUST00152,RTE00012,2026-01-22,Refrigerated,31927,9,7368.81,453.91,200,Completed,Spot
58440,LOAD00058441,CUST00049,RTE00045,2026-01-22,Dry Van,36325,2,1237.47,137.31,200,Completed,Contract
58441,LOAD00058442,CUST00085,RTE00029,2026-01-22,Dry Van,12821,21,7449.22,891.82,50,Completed,Dedicated
58442,LOAD00058443,CUST00161,RTE00031,2026-01-22,Dry Van,25925,23,1313.31,185.6,200,Completed,Contract
58443,LOAD00058444,CUST00098,RTE00015,2026-01-23,Refrigerated,11903,9,224.23,13.8,200,Completed,Spot
58444,LOAD00058445,CUST00036,RTE00014,2026-01-23,Refrigerated,16535,19,2655.18,228.76,0,Completed,Dedicated
58445,LOAD00058446,CUST00069,RTE00007,2026-01-23,Refrigerated,12160,4,4171.3,504.32,50,Completed,Dedicated
58446,LOAD00058447,CUST00115,RTE00016,2026-01-23,Dry Van,39207,7,7202.47,463.93,50,Completed,Spot
58447,LOAD00058448,CUST00087,RTE00049,2026-01-23,Dry Van,33894,28,1974.61,144.0,50,Completed,Dedicated
58448,LOAD00058449,CUST00023,RTE00022,2026-01-23,Dry Van,43890,21,1229.94,161.53,0,Completed,Dedicated
58449,LOAD00058450,CUST00107,RTE00058,2026-01-23,Refrigerated,37081,28,1276.01,98.61,0,Completed,Spot
58450,LOAD00058451,CUST00141,RTE00045,2026-01-23,Refrigerated,40460,13,1429.59,137.31,75,Completed,Dedicated
58451,LOAD00058452,CUST00065,RTE00003,2026-01-23,Dry Van,37047,24,5261.97,580.87,200,Completed,Contract
58452,LOAD00058453,CUST00179,RTE00019,2026-01-23,Refrigerated,26158,14,3266.81,406.72,0,Completed,Dedicated
58453,LOAD00058454,CUST00085,RTE00054,2026-01-23,Dry Van,19365,10,3318.86,295.83,0,Completed,Dedicated
58454,LOAD00058455,CUST00035,RTE00033,2026-01-23,Dry Van,28426,16,418.53,40.08,0,Completed,Contract
58455,LOAD00058456,CUST00003,RTE00008,2026-01-23,Refrigerated,24570,20,2167.11,114.3,75,Completed,Contract
58456,LOAD00058457,CUST00055,RTE00053,2026-01-23,Refrigerated,26694,20,1679.24,209.79,200,Completed,Dedicated
58457,LOAD00058458,CUST00149,RTE00009,2026-01-23,Dry Van,22039,8,1774.29,149.26,150,Completed,Dedicated
58458,LOAD00058459,CUST00183,RTE00046,2026-01-23,Dry Van,11825,23,5813.8,499.18,50,Completed,Contract
58459,LOAD00058460,CUST00090,RTE00030,2026-01-23,Dry Van,44673,10,5446.28,708.51,100,Completed,Dedicated
58460,LOAD00058461,CUST00049,RTE00029,2026-01-23,Refrigerated,35933,21,5735.73,891.82,0,Completed,Dedicated
58461,LOAD00058462,CUST00101,RTE00003,2026-01-23,Refrigerated,10866,10,5203.1,580.87,150,Completed,Dedicated
58462,LOAD00058463,CUST00035,RTE00053,2026-01-23,Refrigerated,31706,16,1997.42,209.79,0,Completed,Spot
58463,LOAD00058464,CUST00147,RTE00049,2026-01-23,Dry Van,22728,24,2150.84,144.0,100,Completed,Dedicated
58464,LOAD00058465,CUST00073,RTE00038,2026-01-23,Dry Van,27208,19,3101.57,314.64,0,Completed,Dedicated
58465,LOAD00058466,CUST00164,RTE00035,2026-01-23,Refrigerated,22284,18,2193.85,344.12,150,Completed,Spot
58466,LOAD00058467,CUST00073,RTE00048,2026-01-23,Dry Van,30909,24,6756.08,792.88,0,Completed,Spot
58467,LOAD00058468,CUST00165,RTE00013,2026-01-23,Dry Van,23455,25,1140.56,141.33,0,Completed,Dedicated
58468,LOAD00058469,CUST00004,RTE00033,2026-01-23,Refrigerated,14008,18,455.15,40.08,50,Completed,Spot
58469,LOAD00058470,CUST00016,RTE00030,2026-01-23,Dry Van,41829,27,5913.86,708.51,200,Completed,Dedicated
58470,LOAD00058471,CUST00144,RTE00019,2026-01-23,Refrigerated,34627,4,3023.92,406.72,0,Completed,Spot
58471,LOAD00058472,CUST00175,RTE00019,2026-01-23,Dry Van,43276,21,3128.0,406.72,50,Completed,Dedicated
58472,LOAD00058473,CUST00185,RTE00023,2026-01-23,Refrigerated,18076,15,3032.2,216.92,100,Completed,Spot
58473,LOAD00058474,CUST00034,RTE00028,2026-01-23,Dry Van,14371,17,4174.01,564.72,0,Completed,Dedicated
58474,LOAD00058475,CUST00018,RTE00057,2026-01-23,Dry Van,27598,23,2372.45,276.3,150,Completed,Dedicated
58475,LOAD00058476,CUST00187,RTE00010,2026-01-23,Refrigerated,23766,23,143.61,15.64,0,Completed,Spot
58476,LOAD00058477,CUST00171,RTE00056,2026-01-23,Refrigerated,26558,19,4183.37,309.24,200,Completed,Contract
58477,LOAD00058478,CUST00087,RTE00028,2026-01-23,Dry Van,17010,12,4231.92,564.72,100,Completed,Dedicated
58478,LOAD00058479,CUST00013,RTE00047,2026-01-23,Dry Van,31891,4,965.12,76.16,0,Completed,Dedicated
58479,LOAD00058480,CUST00129,RTE00012,2026-01-23,Refrigerated,14975,6,6732.09,453.91,150,Completed,Contract
58480,LOAD00058481,CUST00109,RTE00035,2026-01-23,Refrigerated,12696,4,2316.35,344.12,0,Completed,Dedicated
58481,LOAD00058482,CUST00124,RTE00018,2026-01-23,Refrigerated,26390,23,1501.3,187.6,100,Completed,Dedicated
58482,LOAD00058483,CUST00007,RTE00051,2026-01-23,Refrigerated,18883,7,3496.69,460.0,75,Completed,Dedicated
58483,LOAD00058484,CUST00034,RTE00035,2026-01-23,Refrigerated,31812,9,1892.32,344.12,200,Completed,Contract
58484,LOAD00058485,CUST00094,RTE00016,2026-01-23,Refrigerated,40916,18,6224.01,463.93,100,Completed,Spot
58485,LOAD00058486,CUST00155,RTE00024,2026-01-23,Refrigerated,23990,19,2870.03,376.0,0,Completed,Dedicated
58486,LOAD00058487,CUST00093,RTE00016,2026-01-23,Dry Van,22591,13,6218.97,463.93,100,Completed,Spot
58487,LOAD00058488,CUST00091,RTE00054,2026-01-23,Refrigerated,32857,16,3227.34,295.83,50,Completed,Contract
58488,LOAD00058489,CUST00037,RTE00027,2026-01-23,Refrigerated,31824,11,2318.79,419.43,100,Completed,Spot
58489,LOAD00058490,CUST00134,RTE00045,2026-01-23,Dry Van,27652,16,1517.7,137.31,100,Completed,Dedicated
58490,LOAD00058491,CUST00004,RTE00035,2026-01-23,Dry Van,36001,25,2075.65,344.12,0,Completed,Dedicated
58491,LOAD00058492,CUST00133,RTE00049,2026-01-23,Dry Van,42019,7,1903.2,144.0,0,Completed,Dedicated
58492,LOAD00058493,CUST00132,RTE00014,2026-01-23,Refrigerated,23857,1,2926.86,228.76,0,Completed,Spot
58493,LOAD00058494,CUST00192,RTE00056,2026-01-23,Dry Van,38640,12,3985.05,309.24,0,Completed,Dedicated
58494,LOAD00058495,CUST00040,RTE00046,2026-01-23,Dry Van,38973,18,7016.27,499.18,75,Completed,Spot
58495,LOAD00058496,CUST00057,RTE00019,2026-01-23,Dry Van,16782,18,3119.42,406.72,100,Completed,Dedicated
58496,LOAD00058497,CUST00057,RTE00032,2026-01-23,Dry Van,15639,27,4065.96,451.8,50,Completed,Dedicated
58497,LOAD00058498,CUST00045,RTE00041,2026-01-23,Refrigerated,11248,16,3836.56,255.36,0,Completed,Dedicated
58498,LOAD00058499,CUST00105,RTE00003,2026-01-23,Refrigerated,29262,27,4921.12,580.87,200,Completed,Dedicated
58499,LOAD00058500,CUST00102,RTE00031,2026-01-23,Dry Van,36438,7,1464.83,185.6,100,Completed,Dedicated
58500,LOAD00058501,CUST00102,RTE00038,2026-01-23,Dry Van,38700,20,3767.73,314.64,100,Completed,Contract
58501,LOAD00058502,CUST00200,RTE00013,2026-01-23,Dry Van,28322,2,995.82,141.33,100,Completed,Contract
58502,LOAD00058503,CUST00033,RTE00035,2026-01-23,Dry Van,43754,25,1868.04,344.12,100,Completed,Dedicated
58503,LOAD00058504,CUST00154,RTE00012,2026-01-23,Dry Van,20174,28,6123.54,453.91,0,Completed,Contract
58504,LOAD00058505,CUST00180,RTE00024,2026-01-23,Refrigerated,24018,7,3061.78,376.0,200,Completed,Spot
58505,LOAD00058506,CUST00161,RTE00001,2026-01-23,Refrigerated,24227,24,1157.47,128.63,0,Completed,Contract
58506,LOAD00058507,CUST00035,RTE00029,2026-01-23,Refrigerated,21123,22,6445.36,891.82,0,Completed,Dedicated
58507,LOAD00058508,CUST00087,RTE00044,2026-01-23,Dry Van,26694,3,6866.69,814.37,100,Completed,Dedicated
58508,LOAD00058509,CUST00142,RTE00030,2026-01-23,Refrigerated,33791,4,4722.94,708.51,0,Completed,Dedicated
58509,LOAD00058510,CUST00120,RTE00045,2026-01-23,Refrigerated,15845,9,1436.97,137.31,50,Completed,Dedicated
58510,LOAD00058511,CUST00160,RTE00019,2026-01-23,Refrigerated,41355,11,3024.92,406.72,0,Completed,Spot
58511,LOAD00058512,CUST00038,RTE00007,2026-01-23,Refrigerated,24680,4,4039.86,504.32,50,Completed,Contract
58512,LOAD00058513,CUST00169,RTE00026,2026-01-23,Dry Van,43140,10,3442.58,555.52,75,Completed,Dedicated
58513,LOAD00058514,CUST00163,RTE00047,2026-01-23,Refrigerated,17481,27,944.11,76.16,100,Completed,Dedicated
58514,LOAD00058515,CUST00191,RTE00031,2026-01-23,Refrigerated,29920,19,1252.23,185.6,200,Completed,Dedicated
58515,LOAD00058516,CUST00045,RTE00018,2026-01-23,Dry Van,21582,21,1373.62,187.6,100,Completed,Contract
58516,LOAD00058517,CUST00006,RTE00014,2026-01-23,Dry Van,37655,2,2407.14,228.76,0,Completed,Dedicated
58517,LOAD00058518,CUST00178,RTE00017,2026-01-23,Refrigerated,44123,4,2261.44,384.2,100,Completed,Dedicated
58518,LOAD00058519,CUST00137,RTE00031,2026-01-23,Refrigerated,15190,11,1577.98,185.6,150,Completed,Spot
58519,LOAD00058520,CUST00177,RTE00055,2026-01-23,Refrigerated,42395,18,3069.73,357.25,0,Completed,Spot
58520,LOAD00058521,CUST00179,RTE00048,2026-01-23,Dry Van,27808,18,5390.9,792.88,0,Completed,Spot
58521,LOAD00058522,CUST00162,RTE00042,2026-01-24,Dry Van,18716,20,6132.61,472.14,0,Completed,Dedicated
58522,LOAD00058523,CUST00065,RTE00040,2026-01-24,Dry Van,31469,24,3678.09,524.7,0,Completed,Contract
58523,LOAD00058524,CUST00096,RTE00040,2026-01-24,Refrigerated,41960,2,4210.7,524.7,0,Completed,Contract
58524,LOAD00058525,CUST00040,RTE00058,2026-01-24,Refrigerated,25948,13,1157.57,98.61,150,Completed,Spot
58525,LOAD00058526,CUST00041,RTE00014,2026-01-24,Dry Van,11411,4,2431.25,228.76,50,Completed,Contract
58526,LOAD00058527,CUST00116,RTE00045,2026-01-24,Dry Van,19280,24,1189.03,137.31,50,Completed,Dedicated
58527,LOAD00058528,CUST00085,RTE00045,2026-01-24,Refrigerated,30943,6,1361.22,137.31,0,Completed,Spot
58528,LOAD00058529,CUST00141,RTE00049,2026-01-24,Dry Van,22544,9,1662.57,144.0,150,Completed,Dedicated
58529,LOAD00058530,CUST00171,RTE00022,2026-01-24,Refrigerated,25217,24,1156.53,161.53,150,Completed,Contract
58530,LOAD00058531,CUST00086,RTE00054,2026-01-24,Dry Van,23406,18,2848.52,295.83,0,Completed,Spot
58531,LOAD00058532,CUST00039,RTE00005,2026-01-24,Refrigerated,19746,15,4011.77,454.74,0,Completed,Spot
58532,LOAD00058533,CUST00114,RTE00006,2026-01-24,Dry Van,26378,24,1495.54,189.0,75,Completed,Contract
58533,LOAD00058534,CUST00146,RTE00038,2026-01-24,Dry Van,11686,4,3813.04,314.64,50,Completed,Dedicated
58534,LOAD00058535,CUST00126,RTE00003,2026-01-24,Dry Van,28776,21,5405.34,580.87,200,Completed,Dedicated
58535,LOAD00058536,CUST00166,RTE00055,2026-01-24,Refrigerated,21620,17,3410.81,357.25,0,Completed,Spot
58536,LOAD00058537,CUST00128,RTE00047,2026-01-24,Refrigerated,24027,23,846.05,76.16,0,Completed,Spot
58537,LOAD00058538,CUST00066,RTE00005,2026-01-24,Dry Van,32781,7,4120.39,454.74,150,Completed,Spot
58538,LOAD00058539,CUST00076,RTE00046,2026-01-24,Dry Van,15929,13,5925.58,499.18,200,Completed,Contract
58539,LOAD00058540,CUST00025,RTE00001,2026-01-24,Refrigerated,44505,28,1317.04,128.63,75,Completed,Dedicated
58540,LOAD00058541,CUST00022,RTE00031,2026-01-24,Refrigerated,17349,24,1498.07,185.6,200,Completed,Contract
58541,LOAD00058542,CUST00101,RTE00034,2026-01-24,Dry Van,23253,9,4901.8,792.88,100,Completed,Contract
58542,LOAD00058543,CUST00163,RTE00024,2026-01-24,Dry Van,12485,26,3186.68,376.0,100,Completed,Dedicated
58543,LOAD00058544,CUST00006,RTE00054,2026-01-24,Dry Van,37048,16,3351.83,295.83,0,Completed,Contract
58544,LOAD00058545,CUST00198,RTE00017,2026-01-24,Refrigerated,10320,26,2338.83,384.2,100,Completed,Dedicated
58545,LOAD00058546,CUST00085,RTE00007,2026-01-24,Dry Van,29413,9,4594.73,504.32,75,Completed,Dedicated
58546,LOAD00058547,CUST00072,RTE00049,2026-01-24,Refrigerated,26852,18,2135.95,144.0,0,Completed,Spot
58547,LOAD00058548,CUST00120,RTE00044,2026-01-24,Refrigerated,42420,18,7573.85,814.37,75,Completed,Spot
58548,LOAD00058549,CUST00121,RTE00007,2026-01-24,Dry Van,10289,2,3496.98,504.32,0,Completed,Dedicated
58549,LOAD00058550,CUST00003,RTE00009,2026-01-24,Refrigerated,39047,16,1906.89,149.26,0,Completed,Dedicated
58550,LOAD00058551,CUST00163,RTE00005,2026-01-24,Dry Van,26742,14,3813.51,454.74,0,Completed,Contract
58551,LOAD00058552,CUST00004,RTE00044,2026-01-24,Dry Van,27462,3,6122.4,814.37,75,Completed,Contract
58552,LOAD00058553,CUST00029,RTE00042,2026-01-24,Refrigerated,35508,22,6493.09,472.14,0,Completed,Spot
58553,LOAD00058554,CUST00133,RTE00042,2026-01-24,Dry Van,23923,15,6894.42,472.14,100,Completed,Dedicated
58554,LOAD00058555,CUST00029,RTE00017,2026-01-24,Refrigerated,21139,27,1991.29,384.2,0,Completed,Dedicated
58555,LOAD00058556,CUST00072,RTE00042,2026-01-24,Refrigerated,16065,21,6643.99,472.14,0,Completed,Contract
58556,LOAD00058557,CUST00010,RTE00054,2026-01-24,Dry Van,41390,16,3461.79,295.83,75,Completed,Dedicated
58557,LOAD00058558,CUST00147,RTE00018,2026-01-24,Dry Van,18013,22,1375.65,187.6,0,Completed,Contract
58558,LOAD00058559,CUST00097,RTE00014,2026-01-24,Refrigerated,19157,21,2305.08,228.76,0,Completed,Spot
58559,LOAD00058560,CUST00169,RTE00019,2026-01-24,Dry Van,20722,1,3135.42,406.72,0,Completed,Dedicated
58560,LOAD00058561,CUST00037,RTE00053,2026-01-24,Refrigerated,16620,1,1734.0,209.79,50,Completed,Dedicated
58561,LOAD00058562,CUST00033,RTE00012,2026-01-24,Refrigerated,16394,28,6478.38,453.91,0,Completed,Dedicated
58562,LOAD00058563,CUST00010,RTE00010,2026-01-24,Refrigerated,33244,21,154.11,15.64,0,Completed,Spot
58563,LOAD00058564,CUST00138,RTE00042,2026-01-24,Dry Van,12890,9,5972.69,472.14,75,Completed,Contract
58564,LOAD00058565,CUST00146,RTE00008,2026-01-24,Refrigerated,14432,15,2006.92,114.3,150,Completed,Spot
58565,LOAD00058566,CUST00081,RTE00043,2026-01-24,Refrigerated,21223,27,2342.06,249.44,0,Completed,Spot
58566,LOAD00058567,CUST00200,RTE00016,2026-01-24,Dry Van,31681,27,6412.35,463.93,0,Completed,Spot
58567,LOAD00058568,CUST00059,RTE00046,2026-01-24,Refrigerated,38952,28,6643.47,499.18,0,Completed,Dedicated
58568,LOAD00058569,CUST00191,RTE00058,2026-01-24,Dry Van,33221,8,1008.62,98.61,75,Completed,Spot
58569,LOAD00058570,CUST00084,RTE00048,2026-01-24,Dry Van,17029,1,6203.62,792.88,200,Completed,Contract
58570,LOAD00058571,CUST00196,RTE00046,2026-01-24,Dry Van,31461,6,6701.62,499.18,200,Completed,Dedicated
58571,LOAD00058572,CUST00095,RTE00053,2026-01-24,Refrigerated,23774,7,1985.37,209.79,0,Completed,Dedicated
58572,LOAD00058573,CUST00106,RTE00040,2026-01-24,Dry Van,36986,23,4654.86,524.7,0,Completed,Contract
58573,LOAD00058574,CUST00124,RTE00038,2026-01-24,Dry Van,38167,12,3365.1,314.64,75,Completed,Contract
58574,LOAD00058575,CUST00168,RTE00043,2026-01-24,Dry Van,11822,16,2464.62,249.44,200,Completed,Dedicated
58575,LOAD00058576,CUST00021,RTE00032,2026-01-24,Refrigerated,18886,1,4315.44,451.8,150,Completed,Contract
58576,LOAD00058577,CUST00170,RTE00050,2026-01-24,Dry Van,26829,12,1574.5,170.88,100,Completed,Contract
58577,LOAD00058578,CUST00097,RTE00007,2026-01-24,Refrigerated,11441,12,4581.32,504.32,50,Completed,Dedicated
58578,LOAD00058579,CUST00038,RTE00039,2026-01-24,Refrigerated,18083,5,2038.56,344.52,100,Completed,Dedicated
58579,LOAD00058580,CUST00027,RTE00002,2026-01-24,Dry Van,41196,6,1325.86,153.34,100,Completed,Dedicated
58580,LOAD00058581,CUST00125,RTE00009,2026-01-24,Dry Van,19097,21,1953.81,149.26,75,Completed,Contract
58581,LOAD00058582,CUST00026,RTE00029,2026-01-24,Dry Van,32851,1,7016.62,891.82,100,Completed,Dedicated
58582,LOAD00058583,CUST00064,RTE00032,2026-01-24,Refrigerated,32539,6,4828.32,451.8,75,Completed,Dedicated
58583,LOAD00058584,CUST00048,RTE00021,2026-01-24,Refrigerated,29112,12,4581.06,590.24,0,Completed,Dedicated
58584,LOAD00058585,CUST00043,RTE00017,2026-01-24,Refrigerated,15830,6,1786.63,384.2,0,Completed,Dedicated
58585,LOAD00058586,CUST00151,RTE00050,2026-01-24,Refrigerated,16085,10,1566.92,170.88,100,Completed,Dedicated
58586,LOAD00058587,CUST00055,RTE00050,2026-01-24,Refrigerated,10967,11,1338.29,170.88,50,Completed,Spot
58587,LOAD00058588,CUST00168,RTE00045,2026-01-24,Dry Van,22433,1,1284.72,137.31,50,Completed,Spot
58588,LOAD00058589,CUST00155,RTE00022,2026-01-24,Dry Van,17284,2,931.93,161.53,150,Completed,Dedicated
58589,LOAD00058590,CUST00016,RTE00036,2026-01-24,Refrigerated,42254,10,744.05,86.46,200,Completed,Dedicated
58590,LOAD00058591,CUST00024,RTE00046,2026-01-24,Refrigerated,25754,19,5440.52,499.18,50,Completed,Contract
58591,LOAD00058592,CUST00001,RTE00001,2026-01-24,Refrigerated,29755,27,1118.28,128.63,50,Completed,Spot
58592,LOAD00058593,CUST00018,RTE00006,2026-01-24,Refrigerated,19878,13,1562.74,189.0,200,Completed,Dedicated
58593,LOAD00058594,CUST00134,RTE00020,2026-01-24,Dry Van,28867,3,3598.36,738.48,200,Completed,Dedicated
58594,LOAD00058595,CUST00048,RTE00018,2026-01-24,Dry Van,43556,17,1592.62,187.6,50,Completed,Contract
58595,LOAD00058596,CUST00013,RTE00040,2026-01-24,Refrigerated,31826,19,4667.13,524.7,50,Completed,Dedicated
58596,LOAD00058597,CUST00144,RTE00024,2026-01-24,Dry Van,27640,1,3118.77,376.0,0,Completed,Spot
58597,LOAD00058598,CUST00035,RTE00009,2026-01-24,Refrigerated,19266,13,1766.84,149.26,150,Completed,Spot
58598,LOAD00058599,CUST00147,RTE00020,2026-01-24,Refrigerated,13451,12,4120.59,738.48,0,Completed,Contract
58599,LOAD00058600,CUST00114,RTE00003,2026-01-24,Refrigerated,22857,1,4803.2,580.87,100,Completed,Dedicated
58600,LOAD00058601,CUST00010,RTE00028,2026-01-24,Refrigerated,19870,17,3803.59,564.72,100,Completed,Spot
58601,LOAD00058602,CUST00044,RTE00055,2026-01-24,Dry Van,33441,23,3170.5,357.25,200,Completed,Dedicated
58602,LOAD00058603,CUST00170,RTE00047,2026-01-24,Dry Van,15587,28,1030.12,76.16,0,Completed,Dedicated
58603,LOAD00058604,CUST00043,RTE00020,2026-01-24,Dry Van,14329,26,3540.5,738.48,0,Completed,Contract
58604,LOAD00058605,CUST00057,RTE00008,2026-01-25,Refrigerated,11963,24,1850.47,114.3,50,Completed,Dedicated
58605,LOAD00058606,CUST00097,RTE00001,2026-01-25,Dry Van,12740,19,1128.67,128.63,150,Completed,Contract
58606,LOAD00058607,CUST00166,RTE00053,2026-01-25,Refrigerated,35761,20,1894.56,209.79,200,Completed,Dedicated
58607,LOAD00058608,CUST00015,RTE00047,2026-01-25,Dry Van,17808,15,899.82,76.16,75,Completed,Dedicated
58608,LOAD00058609,CUST00146,RTE00053,2026-01-25,Dry Van,19938,8,1945.84,209.79,200,Completed,Spot
58609,LOAD00058610,CUST00034,RTE00024,2026-01-25,Refrigerated,40060,6,2661.95,376.0,150,Completed,Dedicated
58610,LOAD00058611,CUST00036,RTE00003,2026-01-25,Refrigerated,24640,21,5195.1,580.87,200,Completed,Dedicated
58611,LOAD00058612,CUST00164,RTE00030,2026-01-25,Dry Van,35060,10,5942.44,708.51,0,Completed,Spot
58612,LOAD00058613,CUST00003,RTE00044,2026-01-25,Dry Van,43704,28,7121.52,814.37,75,Completed,Dedicated
58613,LOAD00058614,CUST00031,RTE00034,2026-01-25,Refrigerated,34520,20,5495.3,792.88,0,Completed,Dedicated
58614,LOAD00058615,CUST00003,RTE00040,2026-01-25,Refrigerated,30128,22,3846.66,524.7,75,Completed,Dedicated
58615,LOAD00058616,CUST00199,RTE00007,2026-01-25,Refrigerated,29452,13,3796.2,504.32,0,Completed,Spot
58616,LOAD00058617,CUST00065,RTE00052,2026-01-25,Dry Van,34537,8,1349.77,273.36,0,Completed,Dedicated
58617,LOAD00058618,CUST00015,RTE00019,2026-01-25,Dry Van,23821,15,3362.55,406.72,0,Completed,Dedicated
58618,LOAD00058619,CUST00062,RTE00005,2026-01-25,Refrigerated,42938,2,3881.62,454.74,150,Completed,Dedicated
58619,LOAD00058620,CUST00154,RTE00002,2026-01-25,Refrigerated,23420,14,1500.2,153.34,0,Completed,Dedicated
58620,LOAD00058621,CUST00024,RTE00033,2026-01-25,Refrigerated,22585,6,447.9,40.08,150,Completed,Dedicated
58621,LOAD00058622,CUST00056,RTE00022,2026-01-25,Dry Van,20758,26,1229.06,161.53,75,Completed,Contract
58622,LOAD00058623,CUST00117,RTE00001,2026-01-25,Dry Van,36010,21,1010.06,128.63,0,Completed,Spot
58623,LOAD00058624,CUST00137,RTE00024,2026-01-25,Refrigerated,30246,10,2505.68,376.0,0,Completed,Dedicated
58624,LOAD00058625,CUST00194,RTE00038,2026-01-25,Dry Van,32873,9,3193.6,314.64,75,Completed,Spot
58625,LOAD00058626,CUST00135,RTE00043,2026-01-25,Dry Van,33755,8,2776.33,249.44,200,Completed,Dedicated
58626,LOAD00058627,CUST00009,RTE00058,2026-01-25,Dry Van,41729,1,1285.78,98.61,0,Completed,Spot
58627,LOAD00058628,CUST00127,RTE00026,2026-01-25,Refrigerated,17983,6,3002.82,555.52,200,Completed,Spot
58628,LOAD00058629,CUST00187,RTE00033,2026-01-25,Dry Van,17698,13,380.75,40.08,150,Completed,Spot
58629,LOAD00058630,CUST00159,RTE00007,2026-01-25,Dry Van,40642,13,4545.94,504.32,200,Completed,Spot
58630,LOAD00058631,CUST00157,RTE00019,2026-01-25,Dry Van,17076,14,2904.74,406.72,0,Completed,Contract
58631,LOAD00058632,CUST00079,RTE00039,2026-01-25,Refrigerated,20344,6,1932.42,344.52,50,Completed,Spot
58632,LOAD00058633,CUST00044,RTE00014,2026-01-25,Refrigerated,14635,8,2520.98,228.76,0,Completed,Dedicated
58633,LOAD00058634,CUST00052,RTE00051,2026-01-25,Refrigerated,35757,2,3716.38,460.0,200,Completed,Spot
58634,LOAD00058635,CUST00129,RTE00035,2026-01-25,Refrigerated,11611,22,2383.9,344.12,100,Completed,Contract
58635,LOAD00058636,CUST00110,RTE00023,2026-01-25,Refrigerated,18057,27,3297.37,216.92,200,Completed,Contract
58636,LOAD00058637,CUST00050,RTE00014,2026-01-25,Dry Van,32082,3,2802.85,228.76,0,Completed,Dedicated
58637,LOAD00058638,CUST00194,RTE00010,2026-01-25,Refrigerated,34997,28,169.89,15.64,100,Completed,Dedicated
58638,LOAD00058639,CUST00031,RTE00043,2026-01-25,Dry Van,16134,4,2164.38,249.44,150,Completed,Dedicated
58639,LOAD00058640,CUST00050,RTE00034,2026-01-25,Dry Van,27918,26,4742.5,792.88,100,Completed,Contract
58640,LOAD00058641,CUST00028,RTE00037,2026-01-25,Dry Van,16943,3,3785.47,537.81,200,Completed,Contract
58641,LOAD00058642,CUST00123,RTE00023,2026-01-25,Refrigerated,20251,16,2840.14,216.92,0,Completed,Spot
58642,LOAD00058643,CUST00169,RTE00004,2026-01-25,Refrigerated,24376,9,3311.97,383.23,200,Completed,Spot
58643,LOAD00058644,CUST00039,RTE00045,2026-01-25,Refrigerated,43002,4,1443.04,137.31,200,Completed,Contract
58644,LOAD00058645,CUST00153,RTE00044,2026-01-25,Dry Van,41090,19,6254.5,814.37,75,Completed,Contract
58645,LOAD00058646,CUST00182,RTE00056,2026-01-25,Dry Van,34622,2,4875.81,309.24,75,Completed,Dedicated
58646,LOAD00058647,CUST00125,RTE00037,2026-01-25,Refrigerated,32550,4,3790.64,537.81,0,Completed,Dedicated
58647,LOAD00058648,CUST00044,RTE00018,2026-01-25,Dry Van,11134,8,1345.36,187.6,200,Completed,Spot
58648,LOAD00058649,CUST00049,RTE00015,2026-01-25,Dry Van,37077,17,289.93,13.8,150,Completed,Dedicated
58649,LOAD00058650,CUST00176,RTE00033,2026-01-25,Refrigerated,28526,17,381.82,40.08,75,Completed,Dedicated
58650,LOAD00058651,CUST00020,RTE00009,2026-01-25,Refrigerated,39586,10,1838.97,149.26,0,Completed,Dedicated
58651,LOAD00058652,CUST00028,RTE00049,2026-01-25,Dry Van,38407,24,1695.8,144.0,0,Completed,Dedicated
58652,LOAD00058653,CUST00123,RTE00007,2026-01-25,Dry Van,11338,15,3886.74,504.32,0,Completed,Spot
58653,LOAD00058654,CUST00016,RTE00020,2026-01-25,Dry Van,14256,5,3333.61,738.48,150,Completed,Spot
58654,LOAD00058655,CUST00045,RTE00014,2026-01-25,Dry Van,44397,11,2914.29,228.76,0,Completed,Dedicated
58655,LOAD00058656,CUST00170,RTE00055,2026-01-25,Refrigerated,16161,9,3463.4,357.25,100,Completed,Spot
58656,LOAD00058657,CUST00008,RTE00014,2026-01-25,Refrigerated,39283,4,2869.97,228.76,200,Completed,Spot
58657,LOAD00058658,CUST00046,RTE00049,2026-01-25,Refrigerated,15812,11,1758.7,144.0,0,Completed,Dedicated
58658,LOAD00058659,CUST00191,RTE00058,2026-01-25,Refrigerated,30458,1,1345.47,98.61,50,Completed,Dedicated
58659,LOAD00058660,CUST00150,RTE00004,2026-01-25,Refrigerated,44969,16,3413.29,383.23,0,Completed,Contract
58660,LOAD00058661,CUST00065,RTE00045,2026-01-25,Dry Van,19662,10,1427.27,137.31,50,Completed,Spot
58661,LOAD00058662,CUST00064,RTE00054,2026-01-25,Dry Van,20218,4,2820.31,295.83,50,Completed,Dedicated
58662,LOAD00058663,CUST00141,RTE00053,2026-01-25,Refrigerated,25271,6,1857.5,209.79,200,Completed,Dedicated
58663,LOAD00058664,CUST00196,RTE00009,2026-01-25,Refrigerated,37600,10,1465.02,149.26,75,Completed,Spot
